Tagname,Include,ST,External Value,Calculated Value,Delta,DeltaUnits,lat ,lon,delta2,num
[ZRIVSE]PL-1722095,FALSE,PT,3.469 barg,3.606 barg,0.138,bar,51.486677,0.0022737,1407,1
[ZRIVSE]PL-8171599,FALSE,PT,2.541 barg,2.681 barg,0.14,bar,51.4713172,-0.0147935,1427,2
[ZRIVSE]PL-1721384,FALSE,PT,3.296 barg,3.680 barg,0.385,bar,51.489119,0.0062499,3925,3
[ZRIVSE]PL-1712118,FALSE,PT,3.514 barg,3.690 barg,0.176,bar,51.4716756,-0.0179807,1794,4
[ZRIVSE]PL-1721580,FALSE,PT,2.844 barg,2.980 barg,0.136,bar,51.4722658,-0.015706,1386,5
[ZRIVSE]PL-1712446,FALSE,PT,3.376 barg,3.635 barg,0.259,bar,51.4722554,-0.020307,2640,6
[ZRIVSE]PL-9407802,FALSE,PT,2.857 barg,3.069 barg,0.212,bar,51.4703199,-0.0162263,2161,7
[ZRIVSE]PL-1721909,FALSE,PT,3.252 barg,3.534 barg,0.282,bar,51.4859275,-0.001131,2875,8
[ZRIVSE]PL-1722059,FALSE,PT,3.034 barg,3.485 barg,0.451,bar,51.4801919,-0.016063,4597,9
[ZRIVSE]PL-1722127,FALSE,PT,3.382 barg,3.496 barg,0.114,bar,51.4808558,-0.0092884,1162,10
[ZRIVSE]PL-10116003,FALSE,PT,3.337 barg,3.712 barg,0.375,bar,51.4791425,-0.0174721,3823,11
[ZRIVSE]PL-1721513,FALSE,PT,2.058 barg,1.967 barg,-0.092,bar,51.469393,-0.0133441,938,12
[ZRIVSE]PL-1721245,FALSE,PT,3.333 barg,3.241 barg,-0.092,bar,51.4831441,-0.0023877,938,13
[ZRIVSE]PL-1720996,FALSE,PT,3.351 barg,3.682 barg,0.331,bar,51.4700456,-0.0170997,3374,14
[ZRIVSE]PL-1721305,FALSE,PT,2.915 barg,2.869 barg,-0.046,bar,51.466553,-0.0111107,469,15
[ZRIVSE]PL-1722006,FALSE,PT,2.079 barg,2.169 barg,0.09,bar,51.470099,-0.0141399,917,16
[ZRIVSE]PL-9459778,FALSE,PT,3.097 barg,3.622 barg,0.524,bar,51.4812068,-0.0134506,5341,17
[ZRIVSE]PL-8730009,FALSE,PT,3.357 barg,3.704 barg,0.348,bar,51.4815023,-0.0140493,3547,18
[ZRIVSE]PL-1721191,FALSE,PT,3.581 barg,3.556 barg,-0.025,bar,51.4882812,0.0034921,255,19
[ZRIVSE]PL-1722083,FALSE,PT,3.460 barg,3.318 barg,-0.141,bar,51.4842698,0.0019997,1437,20
[ZRIVSE]PL-8183726,FALSE,PT,3.439 barg,3.699 barg,0.26,bar,51.479148,-0.0153636,2650,21
[ZRIVSE]PL-1721102,FALSE,PT,3.113 barg,3.070 barg,-0.043,bar,51.4755209,-0.0131382,438,22
[ZRIVSE]PL-10518639,FALSE,PT,3.520 barg,3.477 barg,-0.043,bar,51.4839212,0.0032946,438,23
[ZRIVSE]PL-1712517,FALSE,PT,3.039 barg,3.505 barg,0.466,bar,51.4753705,-0.0173755,4750,24
[ZRIVSE]PL-1721985,FALSE,PT,3.235 barg,3.620 barg,0.386,bar,51.4806056,-0.0138891,3935,25
[ZFINSB]PL-1710869,FALSE,PT,3.052 barg,3.128 barg,0.076,bar,51.49627277,-0.0243572,775,26
[ZFINSB]PL-1711296,FALSE,PT,3.048 barg,3.128 barg,0.08,bar,51.4986577,-0.023025,815,27
[ZFINSB]PL-1711388,FALSE,PT,3.012 barg,3.128 barg,0.117,bar,51.49848754,-0.0240265,1193,28
[ZFINSB]PL-1711391,FALSE,PT,2.902 barg,2.853 barg,-0.049,bar,51.50081857,-0.0206736,499,29
[ZFINSB]PL-1711491,FALSE,PT,2.662 barg,2.844 barg,0.182,bar,51.50038344,-0.0173805,1855,30
[ZFINSB]PL-1711913,FALSE,PT,3.040 barg,3.109 barg,0.068,bar,51.49687037,-0.0227321,693,31
[ZFINSB]PL-1711987,FALSE,PT,2.963 barg,3.043 barg,0.08,bar,51.49929924,-0.0211803,815,32
[ZFINSB]PL-1712046,FALSE,PT,2.887 barg,2.952 barg,0.065,bar,51.49704301,-0.0193764,663,33
[ZFINSB]PL-1712370,FALSE,PT,3.140 barg,2.884 barg,-0.257,bar,51.50146047,-0.024392,2620,34
[ZFINSB]PL-1712707,FALSE,PT,2.992 barg,3.053 barg,0.061,bar,51.49924877,-0.0261362,622,35
[ZFINSB]PL-1717698,FALSE,PT,3.130 barg,3.168 barg,0.038,bar,51.49563239,-0.0257391,387,36
[ZFINSB]PL-1718194,FALSE,PT,3.088 barg,3.054 barg,-0.034,bar,51.49625109,-0.0256317,347,37
[ZFINSB]PL-1722215,FALSE,PT,2.792 barg,2.808 barg,0.016,bar,51.49998259,-0.0142089,163,38
[ZFINSB]PL-10262252,FALSE,PT,3.096 barg,3.187 barg,0.092,bar,51.50055831,-0.0231233,938,39
[ZFINSB]PL-10419328,FALSE,PT,2.884 barg,2.913 barg,0.029,bar,51.49846359,-0.0187424,296,40
[ZFINSB]PL-1722592,FALSE,PT,2.661 barg,2.778 barg,0.118,bar,51.50020021,-0.0152421,1203,41
[ZFINSB]PL-1710949,FALSE,PT,2.734 barg,2.918 barg,0.184,bar,51.49422888,-0.018867,1876,42
[ZFINSB]PL-1710752,FALSE,PT,3.095 barg,3.167 barg,0.072,bar,51.4969454,-0.0244579,734,43
