SiteID,Address,SMS No.,Serial No.,DMA,Latitude,Longitude,X,Y,App Notes,Status,Battery,Level,Spread,Threshold,Filter Type,Low Cutoff (Hz),High Cutoff (Hz),Sensor Type,Leak Duration (Days),Signal,Last received,Internal status,Internal Status Date,Last Note,Last Note Date,Last Note Created By,Logger mode,Created time,Leak Date,Last Leak Date, EasyID, Status Duration, Overdue Status,LNS Check Required,Accounts List,UTC
1712517," 14 Peabody Cl, Devonshire Dr, London SE10 8LB, UK",4.47624E+13,44573,DMA - ZRIVSE03,51.47541501,-0.017471574,537781.2859,177024.9384,,Leak,6.5V,29,5,15,Not Applied,,,,18,18,44652.14583,,,,,,Awaiting repair,44593.30208,,44635.14583,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
7044902," 1 Prince of Orange Ln, London SE10 8JQ, UK",4.47452E+13,56118,DMA - ZRIVSE03,51.47819567,-0.012477972,538119.6618,177343.5528,,No Leak,6.4V,8,2,15,Not Applied,,,,0,13,44652.14583,,,,,,Auto,44587.41319,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
P9407802, Opp 35 Nectarine Way,8.82399E+14,133797,DMA - ZRIVSE02,51.47031977,-0.016251977,537881.3291,176460.6358,,No Leak,6.3V,-1,-1,15,Not Applied,,,,0,18,44652.20833,,,,,,Auto,44412.55208,,,,,,Yes,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE02,0
P1721857,O/S 110 Christchurch Way,8.82399E+14,133801,DMA - ZRIVSE04,51.48950906,0.004627588,539272.9969,178634.0002,,Leak,5.6V,57,4,15,Not Applied,,,,198,22,44455.98958,,,,,,Auto,44412.55069,,44455.09375,,,,,Thames Water Utilities Leakage|South london|DMA - ZRIVSE04|Thames Water Pnet Installed 2017,0
P1722083, O/S 112 Woodland Cresent,8.82399E+14,133789,DMA - ZRIVSE04,51.48426939,0.001973728,539104.6969,178046.3002,,Leak,6.2V,43,8,15,Not Applied,,,,20,30,44652.20833,,,,,,Auto,44412.54861,,44633.09375,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE04,0
1722059," 43 Norman Rd, London SE10 9QZ, UK",4.47452E+13,54378,DMA - ZRIVSE03,51.48014553,-0.016030893,537867.0764,177553.6883,,Leak,,20,4,15,Not Applied,,,,32,11,44627.14583,,,,,,Auto,44300.62431,,44621.14583,,Auto 142 days,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,
P10115997,"32 KING WILLIAM WALK, LONDON, SE10 9HU",8.82399E+14,133802,DMA - ZRIVSE03,51.48180365,-0.008643676,538374.9969,177752.0002,,No Leak,6.5V,-1,-1,15,Not Applied,,,,0,20,44453.98958,31621001,44355.55833,,,,Auto,44271.41458,,,,Auto 30 days,,Yes,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
P8171599,"84 LEWISHAM RD, LONDON, SE13 7QR",8.82399E+14,133800,DMA - ZRIVSE04,51.4713125,-0.014672998,537987.9969,176574.0002,,No Leak,5.9V,8,4,15,Not Applied,,,,0,20,44652.19792,,,,,,Auto,44271.41389,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE04,0
P1721897,"23 PARK VISTA, LONDON, SE10 9LZ",8.82399E+14,133799,DMA - ZRIVSE04,51.48172009,-0.001618971,538862.9969,177756.0002,,No Leak,6.6V,8,3,15,Not Applied,,,,0,14,44652.19792,,,Logger hearing Leaking pressure cap on Hydrant,,,Auto,44271.41389,,,,Auto 58 days,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE04,0
P10116003,"OPP GREENWICH CENTRE BUSINESS PK, 53 NORMAN RD, LONDON, SE10 9QF",8.82399E+14,133798,DMA - ZRIVSE03,51.47913905,-0.017501466,537767.9969,177439.0002,,Leak,6.5V,38,5,15,Not Applied,,,,52,30,44652.19792,,,,,,Auto,44271.41389,,44601.09375,,Auto 84 days,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
P8530744,"2 GUILDFORD GROVE, LONDON, SE10 8JT",8.82399E+14,133796,DMA - ZRIVSE03,51.47377532,-0.017791627,537763.9969,176842.0002,FH on pavement,No Leak,6.2V,8,3,15,Not Applied,,,,0,14,44652.19792,Pressure Logger - Nico,44426.26458,,,,Auto,44271.41389,,,,Auto 161 days,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
P1712560,"OPP 5 GREENWICH HIGH ROAD, LONDON, SE10 8JL",8.82399E+14,133794,DMA - ZRIVSE03,51.49744841,-0.019053146,537605.1566,179472.1108,,No Leak,5.8V,12,11,15,Not Applied,,,,0,30,44651.41667,,,,,,Auto,44271.41389,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
P1722059,"43 Norman Rd, London SE10 9QZ, UK",8.82399E+14,133793,DMA - ZRIVSE03,51.474318,-0.02104,537536.7815,176896.2445,,No Leak,6.2V,14,7,15,Not Applied,,,,0,8,44652.20556,,,,,,Awaiting repair,44271.41389,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
P1721102,"ADA KENNEDY COURT, 7, 38 GREENWICH SOUTH STREET, LONDON, SE10 8UD",8.82399E+14,133792,DMA - ZRIVSE03,51.47552252,-0.013165364,538079.9969,177045.0002,,Leak,6.3V,46,3,15,Not Applied,,,,128,14,44652.19792,45TSMS,44405.3375,,,,Investigation Ongoing,44271.41389,,44525.09375,,Investigation Ongoing 247 days,247 days overdue ,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
P1712118,"1B-12B COLDBATH STREET, LONDON, SE13 7RG",8.82399E+14,133791,DMA - ZRIVSE02,51.47167475,-0.018012274,537754.9969,176608.0002,,Leak,6.1V,33,6,15,Not Applied,,,,221,30,44652.19792,,,45WQHV,44481.35417,Sinead Johnston (SJPNDALYS2021),Awaiting repair,44271.41389,,44432.09375,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE02,0
P1722249,"8 GREENWICH CHURCH ST, LONDON, SE10 9BG",8.82399E+14,133790,DMA - ZRIVSE03,51.48064377,-0.00918387,538340.9969,177622.0002,,No Leak,5.8V,21,9,15,Not Applied,,,,0,16,44529.64583,,,,,,Auto,44271.41389,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
P8183726,"LITTLE COTTAGE PLACE, GREENWICH, SE10 9LG",8.82399E+14,133788,DMA - ZRIVSE03,51.47914819,-0.015384047,537914.9969,177444.0002,,No Leak,6.4V,19,8,15,Not Applied,,,,0,26,44652.19792,45PVHF  45THXY,44355.55972,,,,Auto,44271.41389,,,,Auto 30 days,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
P9459778,"SIDE OF LAMB HOUSE, BARDSLEY LANE, LONDON, SE10 9RG",8.82399E+14,133787,DMA - ZRIVSE03,51.48120226,-0.013480199,538040.9969,177676.0002,,No Leak,6.3V,12,7,15,Not Applied,,,,0,14,44651.40625,,,,,,Auto,44271.41389,,,,Auto 66 days,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
1719861,"  12 Haddo St, Greenwich, London SE10 9RN, UK",4.47452E+13,3088,DMA - ZRIVSE03,51.4802871,-0.013945475,538011.4516,177573.3574,,No Leak,6.2V,22,11,15,Not Applied,,,,0,15,44652.14583,,,"Logger hearing Leaking pressure cap on Hydrant outside Bell house, Haddo ,SE10.",44638.58472,Justin Martin (Justin_Martin),Auto,44229.35694,,,,Auto 13 days,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
7050984," 3 St Alfege Passage, London SE10 9JS, UK",4.47452E+13,2199,DMA - ZRIVSE03,51.4807283,-0.009438694,538323.0477,177630.9191,valve on footpath outside church opposite crossing / lights,No Leak,6.3V,21,9,15,Not Applied,,,,0,9,44652.14583,,,,,,Auto,44228.45972,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
1722621," 47 Maze Hill, London SE10 8XQ, UK",4.47624E+13,33152,DMA - ZRIVSE04,51.48174495,0.002500825,539148.9714,177766.5815,,No Leak,6.4V,9,4,15,Not Applied,,,,0,12,44652.14583,,,,,,Auto,44224.53681,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE04,0
1722038," 213A Trafalgar Rd, Greenwich, London SE10 9EQ, UK",4.47452E+13,58681,DMA - ZRIVSE04,51.48589817,0.007131658,539457.8418,178237.2295,,No Leak,5.9V,8,13,15,Not Applied,,,,0,22,44652.14583,,,,,,Auto,44218.54792,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE04,0
1719994," Queen Mary Court, Romney Rd, Greenwich, London SE10 9HF, UK",4.47925E+13,36015,DMA - ZRIVSE03,51.48260561,-0.004047789,538691.6719,177849.8696,,No Leak,5.8V,10,21,15,Not Applied,,,,0,17,44652.14583,,,,,,Auto,44215.48958,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
1721018," 300 Creek Rd, Greenwich, London SE10 9SW, UK",4.47624E+13,33348,DMA - ZRIVSE03,51.48139146,-0.01167465,538165.792,177700.4432,,No Leak,5.4V,21,10,15,Not Applied,,,,0,25,44652.14583,,,,,,Auto,44211.48681,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
1712022," Manhattan Building, Deals Gateway, London SE13 7SF, UK",4.47925E+13,35239,DMA - ZRIVSE03,51.47320954,-0.021486171,537509.1281,176772.145,,No Leak,5.6V,20,17,15,Not Applied,,,,0,23,44652.14583,,,,,,Awaiting repair,44182.53889,,,,Awaiting repair 118 days,118 days overdue ,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
1712003 ANG," 10 Franklin Pl, London SE13 7ES, UK",4.47452E+13,55312,DMA - ZRIVSE02,51.4722234,-0.018269867,537735.4562,176668.5262,,No Leak,6.3V,12,12,15,Not Applied,,,,0,23,44652.14583,,,,,,Auto,44165.5625,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE02,0
1721980," 22 Woodland Cres, Greenwich, London SE10 9UQ, UK",4.47925E+13,34857,DMA - ZRIVSE04,51.48357273,0.001921132,539103.1636,177968.7317,,No Leak,6.2V,12,6,15,Not Applied,,,,0,30,44652.14583,,,,,,Auto,44155.61875,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE04,0
1722232," 45 Russett Way, Greenwich, London SE13 7LZ, UK",4.47452E+13,56717,DMA - ZRIVSE02,51.46909109,-0.01536034,537946.9569,176325.6828,not cable tied ,Leak,6.4V,23,4,15,Not Applied,,,,173,2,44651.14583,,,31531815,44481.34722,Sinead Johnston (SJPNDALYS2021),Awaiting repair,,,44480.14583,,Awaiting repair 224 days,224 days overdue ,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE02,0
1711099," 37 Blackheath Rd, Greenwich, London SE10 8PE, UK",4.47924E+13,25927,DMA - ZRIVSE03,51.47340752,-0.018660799,537704.7437,176799.4665,,No Leak,5.2V,9,23,15,Not Applied,,,,0,14,44652.14583,,,,,,Auto,43998.55903,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
1711012," 82 Greenwich High Rd, Greenwich, London SE10 8LF, UK",4.47452E+13,56265,DMA - ZRIVSE03,51.47623027,-0.017781369,537757.3185,177115.013,,No Leak,5.2V,8,3,15,Not Applied,,,,0,4,44650.14583,,,,,,Auto,43951.42153,,,,,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE03,0
1720113," 25A Park Row, Greenwich, London SE10 9NL, UK",4.47925E+13,36430,DMA - ZRIVSE04,51.48352137,-0.003432557,538731.6113,177952.8683,not cable tied ,No Leak,6.0V,12,3,15,Not Applied,,,,0,12,44652.14583,,,31667321,44461.41597,Sinead Johnston (SJPNDALYS2021),Auto,43920.33819,,,,Auto 84 days,,,Thames Water Utilities Leakage|Thames Water Pnet Installed 2017|South london|DMA - ZRIVSE04,0
