Date ,ID,Level,Spread,Leak Status ,Address,SMS No.,DMA,Lat,Lon,A
20/04/2022,1721439,10,3,0," Herbaceous Grass  Border, Greenwich, London SE10 9JL, UK",4.47924E+13,DMA - ZRIVSE03,51.47992733,-0.005966909,7
20/04/2022,1712107,16,6,0," 3 Coldbath St, London SE13 7RH, UK",4.47924E+13,DMA - ZRIVSE02,51.47011593,-0.018205158,10
20/04/2022,1712517,39,5,1," 14 Peabody Cl, Devonshire Dr, London SE10 8LB, UK",4.47624E+13,DMA - ZRIVSE03,51.47541501,-0.017471574,34
20/04/2022,1721102,21,5,1," Ada Kennedy Court, 38 Greenwich S St, London SE10 8UD, UK",4.47924E+13,DMA - ZRIVSE03,51.47550669,-0.013104603,16
20/04/2022,7044902,8,3,0," 1 Prince of Orange Ln, London SE10 8JQ, UK",4.47452E+13,DMA - ZRIVSE03,51.47819567,-0.012477972,5
20/04/2022,1721545,19,14,0," 207 Greenwich High Rd, London SE10 8NB, UK",4.47924E+11,DMA - ZRIVSE03,51.47823868,-0.011748411,5
20/04/2022,P9407802,-1,-1,0, Opp 35 Nectarine Way,8.82399E+14,DMA - ZRIVSE02,51.47031977,-0.016251977,0
20/04/2022,P1721857,57,4,1,O/S 110 Christchurch Way,8.82399E+14,DMA - ZRIVSE04,51.48950906,0.004627588,53
20/04/2022,P1722083,25,13,1, O/S 112 Woodland Cresent,8.82399E+14,DMA - ZRIVSE04,51.48426939,0.001973728,12
20/04/2022,1722059,9,2,0," 43 Norman Rd, London SE10 9QZ, UK",4.47624E+13,DMA - ZRIVSE03,51.48014553,-0.016030893,7
20/04/2022,P10115997,-1,-1,0,"32 KING WILLIAM WALK, LONDON, SE10 9HU",8.82399E+14,DMA - ZRIVSE03,51.48180365,-0.008643676,0
20/04/2022,P8171599,9,2,0,"84 LEWISHAM RD, LONDON, SE13 7QR",8.82399E+14,DMA - ZRIVSE04,51.4713125,-0.014672998,7
20/04/2022,P1721897,8,3,0,"23 PARK VISTA, LONDON, SE10 9LZ",8.82399E+14,DMA - ZRIVSE04,51.48172009,-0.001618971,5
20/04/2022,P10116003,24,4,1,"OPP GREENWICH CENTRE BUSINESS PK, 53 NORMAN RD, LONDON, SE10 9QF",8.82399E+14,DMA - ZRIVSE03,51.47913905,-0.017501466,20
20/04/2022,P8530744,8,3,0,"2 GUILDFORD GROVE, LONDON, SE10 8JT",8.82399E+14,DMA - ZRIVSE03,51.47377532,-0.017791627,5
20/04/2022,P1712560,12,11,0,"OPP 5 GREENWICH HIGH ROAD, LONDON, SE10 8JL",8.82399E+14,DMA - ZRIVSE03,51.49744841,-0.019053146,1
20/04/2022,P1722059,10,4,0,"43 Norman Rd, London SE10 9QZ, UK",8.82399E+14,DMA - ZRIVSE03,51.474318,-0.02104,6
20/04/2022,P1721102,50,4,1,Ada Kennedy Court_7 Greenwich South St_SE10 8UD,8.82399E+14,DMA - ZRIVSE03,51.47552252,-0.013165364,46
20/04/2022,P1712118,33,4,1,"1B-12B COLDBATH STREET, LONDON, SE13 7RG",8.82399E+14,DMA - ZRIVSE02,51.47167475,-0.018012274,29
20/04/2022,P1722249,21,9,0,"8 GREENWICH CHURCH ST, LONDON, SE10 9BG",8.82399E+14,DMA - ZRIVSE03,51.48064377,-0.00918387,12
20/04/2022,P8183726,22,3,1,"LITTLE COTTAGE PLACE, GREENWICH, SE10 9LG",8.82399E+14,DMA - ZRIVSE03,51.47914819,-0.015384047,19
20/04/2022,P9459778,11,3,0,"SIDE OF LAMB HOUSE, BARDSLEY LANE, LONDON, SE10 9RG",8.82399E+14,DMA - ZRIVSE03,51.48120226,-0.013480199,8
20/04/2022,1719861,20,9,0,"  12 Haddo St, Greenwich, London SE10 9RN, UK",4.47452E+13,DMA - ZRIVSE03,51.4802871,-0.013945475,11
20/04/2022,7050984,22,9,0," 3 St Alfege Passage, London SE10 9JS, UK",4.47452E+13,DMA - ZRIVSE03,51.4807283,-0.009438694,13
20/04/2022,1722621,9,3,0," 47 Maze Hill, London SE10 8XQ, UK",4.47624E+13,DMA - ZRIVSE04,51.48174495,0.002500825,6
20/04/2022,1722038,7,12,0," 213A Trafalgar Rd, Greenwich, London SE10 9EQ, UK",4.47452E+13,DMA - ZRIVSE04,51.48589817,0.007131658,-5
20/04/2022,1719994,9,17,0," Queen Mary Court, Romney Rd, Greenwich, London SE10 9HF, UK",4.47925E+13,DMA - ZRIVSE03,51.48260561,-0.004047789,-8
20/04/2022,1721018,22,8,0," 300 Creek Rd, Greenwich, London SE10 9SW, UK",4.47624E+13,DMA - ZRIVSE03,51.48139146,-0.01167465,14
20/04/2022,1712022,19,10,0," Manhattan Building, Deals Gateway, London SE13 7SF, UK",4.47925E+13,DMA - ZRIVSE03,51.47320954,-0.021486171,9
20/04/2022,1712003 ANG,11,9,0," 10 Franklin Pl, London SE13 7ES, UK",4.47452E+13,DMA - ZRIVSE02,51.4722234,-0.018269867,2
20/04/2022,1721980,9,6,0," 22 Woodland Cres, Greenwich, London SE10 9UQ, UK",4.47925E+13,DMA - ZRIVSE04,51.48357273,0.001921132,3
