Date ,ID,Level,Spread,Leak Status ,Address,SMS No.,DMA,Lat,Lon,A
01/04/2022,P9407802,-1,-1,-1, Opp 35 Nectarine Way,8.82E+14,DMA - ZRIVSE02,51.47031977,-0.016251977,0
02/04/2022,P9407802,-1,-1,-1, Opp 35 Nectarine Way,8.82E+14,DMA - ZRIVSE02,51.47031977,-0.016251977,0
03/04/2022,P9407802,-1,-1,-1, Opp 35 Nectarine Way,8.82E+14,DMA - ZRIVSE02,51.47031977,-0.016251977,0
04/04/2022,P9407802,-1,-1,-1, Opp 35 Nectarine Way,8.82E+14,DMA - ZRIVSE02,51.47031977,-0.016251977,0
05/04/2022,P9407802,-1,-1,-1, Opp 35 Nectarine Way,8.82E+14,DMA - ZRIVSE02,51.47031977,-0.016251977,0
06/04/2022,P9407802,-1,-1,-1, Opp 35 Nectarine Way,8.82E+14,DMA - ZRIVSE02,51.47031977,-0.016251977,0
07/04/2022,P9407802,-1,-1,-1, Opp 35 Nectarine Way,8.82E+14,DMA - ZRIVSE02,51.47031977,-0.016251977,0
08/04/2022,P9407802,-1,-1,-1, Opp 35 Nectarine Way,8.82E+14,DMA - ZRIVSE02,51.47031977,-0.016251977,0
09/04/2022,P9407802,-1,-1,-1, Opp 35 Nectarine Way,8.82E+14,DMA - ZRIVSE02,51.47031977,-0.016251977,0
10/04/2022,P9407802,-1,-1,-1, Opp 35 Nectarine Way,8.82E+14,DMA - ZRIVSE02,51.47031977,-0.016251977,0
01/04/2022,P1722083,43,8,1, O/S 112 Woodland Cresent,8.82E+14,DMA - ZRIVSE04,51.48426939,0.001973728,35
02/04/2022,P1722083,31,12,1, O/S 112 Woodland Cresent,8.82E+14,DMA - ZRIVSE04,51.48426939,0.001973728,19
03/04/2022,P1722083,32,14,1, O/S 112 Woodland Cresent,8.82E+14,DMA - ZRIVSE04,51.48426939,0.001973728,18
04/04/2022,P1722083,34,8,1, O/S 112 Woodland Cresent,8.82E+14,DMA - ZRIVSE04,51.48426939,0.001973728,26
05/04/2022,P1722083,34,18,1, O/S 112 Woodland Cresent,8.82E+14,DMA - ZRIVSE04,51.48426939,0.001973728,16
06/04/2022,P1722083,32,11,1, O/S 112 Woodland Cresent,8.82E+14,DMA - ZRIVSE04,51.48426939,0.001973728,21
07/04/2022,P1722083,45,13,1, O/S 112 Woodland Cresent,8.82E+14,DMA - ZRIVSE04,51.48426939,0.001973728,32
08/04/2022,P1722083,46,8,1, O/S 112 Woodland Cresent,8.82E+14,DMA - ZRIVSE04,51.48426939,0.001973728,38
